512000 15 511985 
512000 12 511988 
512000 9 511991 
512000 15 511985 
512000 14 511986 
512000 11 511989 
512000 11 511989 
512000 17 511983 
512000 9 511991 
512000 21 511979 
1024000 20 1023980 
1024000 32 1023968 
1024000 21 1023979 
1024000 30 1023970 
1024000 28 1023972 
1024000 22 1023978 
1024000 28 1023972 
1024000 33 1023967 
1024000 19 1023981 
1024000 34 1023966 
2048000 55 2047945 
2048000 50 2047950 
2048000 47 2047953 
2048000 62 2047938 
2048000 61 2047939 
2048000 66 2047934 
2048000 65 2047935 
2048000 65 2047935 
2048000 43 2047957 
2048000 50 2047950 
4096000 120 4095880 
4096000 125 4095875 
4096000 99 4095901 
4096000 104 4095896 
4096000 118 4095882 
4096000 102 4095898 
4096000 114 4095886 
4096000 107 4095893 
4096000 95 4095905 
4096000 88 4095912 
8192000 205 8191795 
8192000 249 8191751 
8192000 222 8191778 
